KODE;NAVN_NORSK;NAVN_ENGELSK;NAVN_LATINSK
"PAA";"Strandreke";"Baltic prawn";"Palaemon adspersus"
"PAC";"R�dpagell";"Common pandora";"Pagellus erythrinus"
"PAL";"Reke av  Palaemonidaeslekten";"Palaemonid shrimps nei";"Palaemonidae"
"PAN";"Reke av  Pandalusslekten";"Pandalus shrimps nei";"Pandalus"
"PEL";"Pelagic fishes nei*";"Pelagic fishes nei";"Osteichthyes"
"PEN";"Reke av Penaeusslekten";"Penaeus shrimps nei";"Penaeus spp."
"PER";"Strandsnegl";"Periwinkles";"Littorinidae"
"PFL";"Guppy";"Guppy";"Poecilia reticulata"
"PFR";"Svamper";"Sponges";"Porifera"
"PHO";"Risso's smooth-head*";"Risso's smooth-head";"Alepocephalus rostratus"
"PHR";"Nise";"Harbour porpoise";"Phocoena phocoena"
"PIC";"Picarels *";"Picarels";"Spicara spp."
"PIL";"Sardin";"European pilchard";"Sardina pilchardus"
"PIN";"Pukkellaks";"Pink(=Humpback) salmon";"Oncorhynchus gorbuscha"
"PIW";"Grindhval";"Longfin pilot whale";"Globicephala melas"
"PLA";"Gapeflyndre";"Amer. plaice";"Hippoglossoides platessoides"
"PLE";"R�dspette";"European plaice";"Pleuronectes platessa"
"PLN";"Sik (ferskvann)";"Pollan";"Coregonus lavaretus"
"PLZ";"Annen flyndre";"Right eye flounders";"Pleuronectidae"
"PNQ";"Stripet strandreke";"Rockpool prawn";"Palaemon elegans"
"PNV";"Stillehavsreke (Tropisk reke)";"Whiteleg shrimp (Pacific white shrimp)";"Litopeaneus vannamei"
"POA";"Havbrasme";"Atlantic pomfret";"Brama brama"
"POC";"Polartorsk";"Polar cod";"Boreogadus saida"
"POD";"Sypike";"Poor cod";"Trisopterus minutus"
"POK";"Sei";"Saithe (= Pollock)";"Pollachius virens"
"POL";"Lyr";"Pollack";"Pollachius pollachius"
"POR";"H�brann";"Porbeagle";"Lamna nasus"
"POS";"Southern blue whiting*";"Southern blue whiting";"Micromesistius australis"
"PRA";"Dypvannsreke";"Northern prawn";"Pandalus borealis"
"PTM";"False catshark *";"False catshark";"Pseudotriakis microdon"
"PZL";"Paramuricea spp **";"Paramuricea spp **";"Paramuricea spp"
"PZW";"Bernakereremittkreps";"Common hermit crab";"Pagurus bernhardus"
"QLT";"Onisimus litoralis **";"Onisimus litoralis **";"Onisimus litoralis"
"QOE";"Risengrynkorall";"Red trees";"Primnoa resedaeformis"
"QRG";"Serripes groenlandicus*";"Greenland smoothcockle";"Serripes groenlandicus"
"QSC";"Harpeskjell";"Queen scallop";"Chlamys opercularis"
"RAJ";"Skater, upes.";"Raja rays nei";"Raja spp."
"RCR";"Paddetorsk";"Tadpole fish";"Raniceps raninus"
"RCT";"Straightnose rabbitfish*";"Straightnose rabbitfish";"Rhinochimaera atlantica"
"REB";"Snabeluer";"Beaked redfish";"Sebastes mentella"
"RED";"Uer uspes.";"Atlantic redfishes";"Sebastes"
"REG";"Uer (vanlig)";"Golden redfish";"Sebastes norvegicus"
"RHC";"Knife-nosed chimaeras *";"Knife-nosed chimaeras";"Rhinochimaera spp."
"RHG";"Isgalt";"Roughhead grenadier";"Macrourus berglax"
"RHP";"S�l";"Dulse";"Palmaria palmata"
"RHT";"Atlantic sharpnose shark *";"Atlantic sharpnose shark";"Rhizipeinodon terraenovae"
"RIB";"Mora";"Common mora";"Mora moro"
"RJA";"Burton-skate";"White skate";"Rostroraja alba"
"RJB";"Storskate";"Blue skate";"Dipturus batis"
"RJC";"Piggskate";"Thornback ray";"Raja clavata"
"RJD";"Little skate *";"Little skate";"Leucoraja (Raja) erinacea"
"RJE";"Sm��yet skate";"Small-eyed ray";"Raja microocellata"
"RJF";"Nebbskate";"Shagreen ray";"Leucoraja fullonica"
"RJG";"Isskate";"Arctic skate";"Amblyraja (Raja) hyperborea"
"RJH";"Blonde ray *";"Blonde ray";"Raja brachyura"
"RJI";"Sandskate";"Sandy ray";"Leucoraja circularis"
"RJK";"Hvitskate";"Sailray";"Rajella (Raja) lintea"
"RJL";"Barndoor skate *";"Barndoor skate";"Dipturus (Raja) laevis"
"RJM";"Flekkskate";"Spotted ray";"Raja montagui"
"RJN";"Gj�kskate";"Cuckoo ray";"Leucoraja naevus"
"RJO";"Spisskate";"Longnose skate";"Dipturus (Raja) oxyrinchus"
"RJQ";"Spinytail skate *";"Spinytail skate";"Bathyraja spinicauda"
"RJR";"Kloskate";"Thorny skate/ Starry ray";"Amblyraja radiata"
"RJS";"Smooth skate *";"Smooth skate";"Malacoraja senta"
"RJT";"Winter skate *";"Winter skate";"Leucoraja (Raja) ocellata"
"RJU";"B�lgeskate";"Undulate ray";"Raja undulata"
"RJY";"Rundskate";"Round ray";"Rajella (Raja) fyllae"
"RNG";"Skolest";"Roundnose grenadier";"Coryphaenoides rupestris"
"SAI";"Seilfisk";"Atlantic sailfish";"Istiophorus albicans"
"SAL";"Laks";"Atlantic salmon";"Salmo salar"
"SAN";"Tobis og annen sil";"Sandeels (= Sandlances) nei";"Ammodytes"
"SAU";"Makrellgjedde";"Atlantic saury";"Scomberesox saurus"
"SBA";"Axillary seabream *";"Axillary seabream";"Pagellus acarne"
"SBB";"Storkjeft";"Boa dragonfish";"Stomias boa"
"SBG";"Dorade";"Gilthead seabream";"Sparus aurata"
"SBL";"Kamtannhai";"Bluntnose sixgill shark";"Hexanchus griseus"
"SBR";"Flekkpagell";"Red seabream";"Pagellus bogaraveo"
"SBX";"Annen havkaruss";"Porgies, seabreams etc.";"Sparidae"
"SCE";"Stort kamskjell (Kamskjell)";"Common scallop";"Pecten maximus"
"SCK";"Spansk h�kjerring";"Kitefin shark";"Dalatias licha"
"SCL";"Catcharks, nursehounds nei *";"Catcharks, nursehounds nei";"Scyliorhinus"
"SCO";"Lusuer";"Scorpionfish";"Sebastes viviparus"
"SCX";"Annen kammusling";"Scallops";"Pectinidae"
"SEB";"Bl�sel";"Bearded seal";"Erignatus barbatus"
"SEC";"Steinkobbe";"Common(= harbour)seal";"Phoca vitulina"
"SEG";"Havert";"Grey seal";"Halichoerus grypus"
"SEH";"Gr�nlandssel";"Harp seal";"Pagophilus groenlandicus"
"SEM";"Common (blue) warehou *";"Common (blue) warehou";"Seriolella brama"
"SEP";"Silver warehou *";"Silver warehou";"Seriollella punctata"
"SER";"Ringsel";"Ringed seal";"Phoca hispida"
"SEZ";"Klappmyss";"Hooded seal";"Cystophora cristata"
"SFR";"Liten kantn�l";"Nilsson's pipefish";"Syngnathus rostellatus"
"SFS";"Slirefisk";"Silver scabbardfish";"Lepidopus caudatus"
"SFV";"Lusuer";"Norway redfish";"Sebastes viviparus"
"SGI";"South Georgia icefish*";"South Georgia icefish";"Pseudochaenichthys georgianus"
"SGQ";"Stor kantn�l";"Greater pipefish";"Syngnathus acus"
"SHB";"Tagghai";"Bramble shark";"Echinorhinus brucus"
"SHD";"Maisild, stamsild, uspes.";"Allis and twaite shads";"Alosa spp"
"SHL";"Stor svarth�";"Lanternsharks nei";"Etmopterus spp"
"SHO";"H�gjel";"Blackmouth catshark";"Galeus melastomus"
"SHW";"Shortfin pilot whale *";"Shortfin pilot whale";"Globicephala macrorhynchus"
"SIL";"Stripefisker";"Silverside smelts";"Atherinidae"
"SIW";"Seihval";"Sei whale";"Balaenoptera borealis"
"SIX";"Annen sardin";"Sardinellas";"Sardinella spp."
"SKA";"Skate, uspesifisert";"Raja rays nei";"Raja spp."
"SKB";"Stingsild";"Sticklebacks";"Gasterosteus spp"
"SKH";"Annen hai";"Sharks";"Selachimorpha (Pleurotremata)"
"SKJ";"Bukstripet pelamide";"Skipjack tuna";"Katsuwonus pelamis"
"SLX";"Annen laksefisk";"Salmonoids";"Salmonoidei"
"SMA";"Makrellhai";"Shortfin mako";"Isurus oxyrinchus"
"SME";"Kr�kle";"European smelt";"Osmerus eperlanus"
"SNS";"Trompetfisk";"Slender snipefish";"Macroramphosus scolopax"
"SOI";"Knivskjell";"Razor clams, knife calms nei";"Solenidae"
"SOL";"Tunge";"Common sole";"Solea solea"
"SOR";"Little sleeper shark *";"Little sleeper shark";"Somnius rostratus"
"SOS";"Sandtunge";"Sand sole";"Solea lascaris"
"SOX";"Annen tunge";"Soles";"Soleidae"
"SPR";"Brisling";"European sprat";"Sprattus sprattus"
"SPW";"Spermhval";"Sperm whale";"Physeter macrocephalus"
"SQC";"Vanlig ti-armet blekksprut uspes";"Common squids nei";"Loglio spp."
"SQE";"Akkar";"European flying squid";"Todarodes sagittatus sagittat"
"SQI";"Nordlig kortfinnet ti-armet blekksprut";"Shortfin (Northern) squid";"Illex illecebrosus"
"SQL";"Langfinnet vanlig ti-armet blekksprut";"Longfinned squid";"Loglio pealei"
"SQS";"Sevenstar flying squid*";"Sevenstar flying squid";"Martialia hyadesi"
"SQU";"Annen vanlig ti-armet blekksprut";"Squids";"Loliginidae, Ommastrephidae"
"SQZ";"Annen blekksprut";"Inshore squids nei";"Loliginidae"
"SRA";"Atlantic searobins*";"Atlantic searobins";"Prionotus spp."
"SRE";"S�rv";"Rudd";"Scardinius erythrophtalmus"
"SRR";"Antarctic starry skate*";"Antarctic starry skate";"Raja georgiana"
"SRX";"Annen skate og rokke";"Skates and rays, nei.";"Rajiformes"
"SSI";"Blackfin icefish*";"Blackfin icefish";"Chaenocephalus aceratus"
"SSM";"Atl. spansk makrell";"Atlantic spanish mackerel";"Scomberomorus maculatus"
"SSO";"Smooth oreo dory *";"Smooth oreo dory";"Pseudocyttus macatus"
"SSX";"Sekkdyr";"Sea squirts nei";"Ascidiacea"
"STB";"Stripet havabbor";"Striped bass";"Morone saxatilis"
"STH";"Vanlig korstroll";"Red starfish";"Asterias rubens"
"STQ";"Tangsnelle";"Broadnosed pipefish";"Syngnathus typhle"
"STU";"St�r, uspes";"Sturgeons";"Acipenseridae"
"STZ";"Giant stargazer, monkfish *";"Giant stargazer, monkfish";"Kathetostoma giganteum"
"SVE";"Stripet teppeskjell";"Striped venus";"Chamelea gallina"
"SVF";"Kanadisk bekker�ye";"Brook Trout";"Salvelinus fontinalis"
"SWB";"Andre brunalger";" Brown seaweed";"Phaeophyceae"
"SWG";"Andre gr�nnalger";"Green seaweeds";"Chlorophycae"
